X_mm,Z_mm,path_index
-191.503,143.046,2
-191.145,143.158,2
-190.824,143.301,2
-190.790,143.321,2
-190.771,143.336,2
-190.757,143.354,2
-190.176,143.748,2
-189.799,144.403,2
-189.798,144.404,2
-189.798,144.408,2
-189.532,145.200,2
-189.517,145.637,2
-189.509,146.000,2
-189.508,146.456,2
-189.506,146.800,2
-189.562,147.220,2
-189.576,147.600,2
-189.650,147.801,2
-189.774,148.318,2
-189.782,148.369,2
-189.783,148.388,2
-189.978,149.200,2
-190.045,149.900,2
-182.814,149.900,2
-182.993,149.198,2
-182.995,149.129,2
-183.046,148.958,2
-183.342,148.479,2
-183.469,148.305,2
-183.623,148.119,2
-184.145,147.821,2
-184.400,147.657,2
-185.002,147.783,2
-185.200,147.818,2
-185.636,147.848,2
-186.024,148.044,2
-186.662,147.618,2
-186.826,147.147,2
-186.893,146.800,2
-186.892,146.660,2
-186.897,146.000,2
-186.884,145.924,2
-186.800,145.805,2
-186.683,145.553,2
-186.182,145.189,2
-186.129,145.166,2
-186.116,145.163,2
-186.107,145.156,2
-186.104,145.152,2
-185.246,145.119,2
-185.200,145.120,2
-184.409,145.197,2
-184.404,145.198,2
-184.404,145.198,2
-184.404,145.198,2
-184.403,145.198,2
-183.747,145.192,2
-183.668,145.203,2
-182.786,144.936,2
-182.773,144.938,2
-182.699,144.933,2
-182.000,144.865,2
-181.839,144.881,2
-181.394,144.924,2
-181.197,144.943,2
-181.151,144.947,2
-180.400,145.019,2
-179.600,145.096,2
-178.800,145.173,2
-178.000,145.250,2
-177.200,145.327,2
-176.346,145.409,2
-176.277,145.411,2
-175.630,145.427,2
-175.561,145.422,2
-174.800,145.369,2
-174.000,145.290,2
-173.200,145.210,2
-172.400,145.130,2
-171.600,145.051,2
-170.851,144.976,2
-170.793,144.970,2
-170.480,144.937,2
-170.000,144.886,2
-169.785,144.879,2
-169.200,144.839,2
-169.071,144.851,2
-168.594,144.948,2
-168.492,144.968,2
-168.463,144.966,2
-167.609,145.252,2
-167.540,145.247,2
-166.787,145.197,2
-166.763,145.200,2
-166.760,145.200,2
-166.759,145.197,2
-166.757,145.196,2
-166.730,145.190,2
-166.056,145.037,2
-166.000,145.024,2
-165.216,145.184,2
-165.202,145.182,2
-165.191,145.193,2
-165.158,145.209,2
-165.103,145.286,2
-164.506,146.000,2
-164.505,146.526,2
-164.501,146.782,2
-164.648,147.331,2
-164.779,147.618,2
-164.949,147.842,2
-165.182,147.984,2
-165.556,148.014,2
-166.000,147.973,2
-166.520,147.742,2
-166.776,147.637,2
-167.295,147.776,2
-167.576,147.840,2
-167.778,148.028,2
-168.112,148.347,2
-168.176,148.391,2
-168.204,148.409,2
-168.222,148.438,2
-168.595,149.200,2
-168.726,149.900,2
-161.563,149.900,2
-161.590,149.457,2
-161.644,149.057,2
-161.791,148.400,2
-161.997,147.670,2
-162.002,147.572,2
-162.041,147.117,2
-162.085,146.800,2
-162.084,146.713,2
-162.098,146.000,2
-162.094,145.934,2
-162.088,145.653,2
-162.089,145.218,2
-162.097,145.133,2
-161.814,144.382,2
-161.815,144.335,2
-161.795,144.270,2
-161.258,143.636,2
-161.225,143.608,2
-161.200,143.580,2
-161.110,143.535,2
-160.400,143.129,2
-159.965,143.013,2
-159.675,142.935,2
-159.564,142.905,2
-158.800,142.701,2
-157.982,142.932,2
-157.974,142.932,2
-157.967,142.937,2
-157.954,142.947,2
-157.445,143.205,2
-157.200,143.249,2
-156.476,143.124,2
-156.365,143.110,2
-156.321,143.095,2
-155.600,142.831,2
-155.056,142.540,2
-154.759,141.994,2
-154.724,141.937,2
-154.658,141.762,2
-154.183,141.208,2
-154.051,141.136,2
-154.005,141.082,2
-153.354,140.725,2
-153.205,140.640,2
-153.188,140.632,2
-152.403,140.281,2
-152.352,140.259,2
-152.226,140.202,2
-151.610,139.933,2
-151.526,139.896,2
-150.800,139.570,2
-150.068,139.288,2
-150.003,139.229,2
-149.870,139.229,2
-149.225,139.216,2
-149.180,139.246,2
-149.154,139.262,2
-149.077,139.262,2
-148.400,139.428,2
-147.665,139.328,2
-147.577,139.278,2
-146.985,138.945,2
-146.857,138.873,2
-146.802,138.842,2
-146.274,138.510,2
-146.130,138.000,2
-145.807,137.193,2
-145.742,137.109,2
-145.281,136.654,2
-145.198,136.593,2
-144.583,136.143,2
-144.183,135.870,2
-143.585,135.474,2
-143.573,135.466,2
-143.550,135.451,2
-142.828,134.982,2
-142.809,134.970,2
-142.171,134.548,2
-141.771,134.305,2
-141.200,134.053,2
-140.348,134.156,2
-140.330,134.151,2
-140.051,134.114,2
-139.629,134.081,2
-139.618,134.081,2
-139.569,134.052,2
-139.469,133.980,2
-138.850,133.518,2
-138.741,133.432,2
-138.224,132.982,2
-138.126,132.400,2
-138.001,131.600,2
-137.699,131.073,2
-137.332,130.673,2
-136.932,130.270,2
-136.455,129.803,2
-136.330,129.679,2
-135.907,129.270,2
-135.717,129.086,2
-135.541,128.916,2
-135.061,128.457,2
-134.899,128.303,2
-134.752,128.162,2
-134.209,127.646,2
-134.079,127.522,2
-133.961,127.410,2
-133.357,126.834,2
-133.259,126.742,2
-133.171,126.658,2
-132.535,126.031,2
-132.451,125.947,2
-132.364,125.855,2
-131.811,125.242,2
-131.760,125.183,2
-131.320,124.653,2
-131.010,124.253,2
-130.610,123.657,2
-130.370,123.257,2
-130.045,122.800,2
-129.675,122.299,2
-129.357,121.899,2
-128.957,121.394,2
-128.640,120.994,2
-128.240,120.470,2
-127.947,120.070,2
-127.603,119.600,2
-127.256,119.130,2
-126.937,118.730,2
-126.537,118.172,2
-126.293,117.772,2
-125.986,117.200,2
-125.693,116.629,2
-125.456,116.229,2
-125.121,115.600,2
-124.865,115.085,2
-124.622,114.685,2
-124.254,114.000,2
-124.033,113.540,2
-123.784,113.140,2
-123.369,112.430,2
-123.257,112.333,2
-122.804,111.616,2
-122.797,111.604,2
-122.795,111.600,2
-122.775,111.564,2
-122.362,110.815,2
-122.299,110.703,2
-121.916,109.998,2
-121.893,109.956,2
-121.843,109.844,2
-121.564,109.200,2
-121.399,108.705,2
-121.322,108.469,2
-121.297,108.391,2
-121.150,107.931,2
-121.050,107.617,2
-121.033,107.564,2
-120.985,107.415,2
-120.786,106.800,2
-120.603,106.244,2
-120.539,106.053,2
-120.518,105.988,2
-120.375,105.561,2
-120.259,105.216,2
-120.241,105.162,2
-120.192,105.016,2
-119.983,104.400,2
-119.798,103.854,2
-119.731,103.657,2
-119.708,103.596,2
-119.353,102.833,2
-119.296,102.744,2
-119.021,102.453,2
-119.000,102.431,2
-119.000,102.033,2
-119.000,101.069,2
-119.000,99.267,2
-119.000,99.255,2
-119.000,98.978,2
-119.000,98.512,2
-119.000,97.843,2
-119.000,97.392,2
-119.000,92.369,2
-119.000,92.333,2
-119.000,92.315,2
-119.001,92.316,2
-119.256,92.716,2
-119.431,93.200,2
-119.601,94.000,2
-119.698,94.800,2
-119.829,95.600,2
-119.957,96.300,2
-120.013,96.700,2
-120.135,97.200,2
-120.317,98.000,2
-120.190,98.849,2
-120.185,98.889,2
-120.167,98.934,2
-120.027,99.292,2
-119.915,99.587,2
-119.900,99.626,2
-119.896,99.649,2
-119.896,99.659,2
-119.874,100.214,2
-120.146,100.614,2
-120.546,101.033,2
-120.956,101.433,2
-121.348,102.002,2
