X_mm,Z_mm,path_index
-118.000,96.153,0
-118.000,95.956,0
-118.000,95.781,0
-118.000,95.633,0
-118.000,95.513,0
-118.000,95.424,0
-118.000,95.366,0
-118.000,95.341,0
-118.000,92.202,0
-118.000,91.212,0
-118.000,91.177,0
-118.000,91.132,0
-118.000,91.080,0
-118.000,91.021,0
-118.000,90.956,0
-118.000,90.887,0
-118.000,90.815,0
-118.000,90.741,0
-118.000,90.666,0
-118.000,90.592,0
-118.000,90.521,0
-118.000,90.453,0
-118.000,88.440,0
-118.000,88.377,0
-118.000,88.310,0
-118.000,88.240,0
-118.000,88.168,0
-118.000,88.097,0
-118.000,88.026,0
-118.000,87.958,0
-118.000,87.894,0
-118.000,87.835,0
-118.000,85.990,0
-100.660,85.990,0
-100.152,85.990,0
-100.146,85.990,0
-99.607,85.990,0
-94.627,85.990,0
-91.558,85.990,0
-89.038,85.990,0
-87.611,85.990,0
-85.994,85.990,0
-84.245,85.990,0
-83.259,85.990,0
-83.259,85.910,0
-83.259,85.902,0
-83.259,85.889,0
-83.259,85.855,0
-83.259,85.789,0
-83.259,85.590,0
-83.259,85.200,0
-83.259,84.800,0
-83.258,84.400,0
-83.258,84.000,0
-83.258,83.600,0
-83.258,83.200,0
-83.258,82.800,0
-83.258,82.400,0
-83.258,82.000,0
-83.258,81.600,0
-83.258,81.200,0
-83.258,80.800,0
-83.258,80.400,0
-83.258,80.000,0
-83.258,79.600,0
-83.258,79.200,0
-83.258,79.031,0
-83.258,78.899,0
-98.342,78.899,0
-100.000,78.899,0
-100.000,78.580,0
-100.000,78.398,0
-100.000,75.851,0
-100.000,74.800,0
-100.000,73.757,0
-100.000,73.302,0
-100.000,72.047,0
-100.000,71.613,0
-95.325,71.613,0
-95.144,71.613,0
-95.137,71.613,0
-95.129,71.613,0
-83.982,71.613,0
-83.369,71.613,0
-83.353,71.848,0
-83.343,72.000,0
-83.316,72.400,0
-83.288,72.800,0
-83.261,73.200,0
-83.241,73.502,0
-83.217,73.815,0
-83.203,74.015,0
-83.185,74.215,0
-82.985,74.504,0
-82.785,74.781,0
-82.550,74.981,0
-82.315,75.181,0
-82.115,75.246,0
-81.915,75.314,0
-81.669,75.514,0
-81.429,75.714,0
-81.342,76.057,0
-81.258,76.400,0
-81.258,76.550,0
-81.258,76.571,0
-81.258,76.933,0
-81.258,77.200,0
-81.258,77.600,0
-81.258,78.793,0
-81.258,78.899,0
-81.258,78.982,0
-81.258,79.024,0
-81.258,79.200,0
-81.258,79.600,0
-81.258,80.000,0
-81.258,80.400,0
-81.258,80.800,0
-81.258,81.200,0
-81.258,81.600,0
-81.258,82.000,0
-81.258,82.400,0
-81.258,82.800,0
-81.258,83.200,0
-81.258,83.600,0
-81.258,84.000,0
-81.258,84.400,0
-81.258,84.800,0
-81.258,85.200,0
-81.258,85.595,0
-81.258,85.990,0
-81.258,85.995,0
-81.258,86.000,0
-81.258,86.400,0
-81.259,86.800,0
-81.259,87.200,0
-81.259,87.600,0
-81.274,88.000,0
-81.297,88.400,0
-81.385,88.728,0
-81.468,89.026,0
-81.578,89.226,0
-81.696,89.426,0
-81.896,89.674,0
-82.096,89.949,0
-82.458,90.129,0
-82.800,90.308,0
-83.200,90.293,0
-83.600,90.289,0
-83.891,90.310,0
-84.158,90.331,0
-84.358,90.426,0
-84.558,90.533,0
-84.797,90.733,0
-85.045,90.933,0
-85.255,91.306,0
-85.445,91.634,0
-85.543,91.911,0
-85.589,92.036,0
-85.640,92.201,0
-85.704,92.403,0
-85.851,92.835,0
-85.979,93.200,0
-86.117,93.468,0
-86.265,93.743,0
-86.513,93.943,0
-86.758,94.143,0
-86.958,94.286,0
-87.158,94.430,0
-87.374,94.585,0
-87.600,94.748,0
-87.862,94.936,0
-88.115,95.118,0
-88.315,95.261,0
-88.593,95.461,0
-89.272,95.948,0
-89.472,96.092,0
-89.642,96.214,0
-89.731,96.278,0
-90.000,96.471,0
-90.188,96.605,0
-90.271,96.665,0
-90.420,96.772,0
-90.629,96.923,0
-90.829,97.066,0
-91.308,97.410,0
-91.726,97.710,0
-92.026,97.925,0
-92.265,98.097,0
-92.544,98.297,0
-92.744,98.440,0
-92.967,98.601,0
-93.200,98.769,0
-93.451,98.952,0
-93.693,99.128,0
-93.893,99.286,0
-94.093,99.445,0
-94.337,99.645,0
-94.582,99.845,0
-94.782,100.021,0
-94.982,100.196,0
-95.198,100.396,0
-95.415,100.596,0
-95.615,100.791,0
-95.815,100.984,0
-96.008,101.184,0
-96.202,101.384,0
-96.402,101.607,0
-96.602,101.829,0
-96.768,102.029,0
-96.938,102.229,0
-97.138,102.497,0
-97.338,102.758,0
-97.482,102.958,0
-97.630,103.158,0
-97.782,103.378,0
-97.936,103.600,0
-98.122,103.867,0
-98.306,104.135,0
-98.450,104.335,0
-98.589,104.535,0
-98.789,104.809,0
-98.989,105.095,0
-99.133,105.295,0
-99.271,105.495,0
-99.432,105.754,0
-99.580,106.000,0
-99.739,106.286,0
-99.909,106.601,0
-99.999,106.801,0
-100.090,107.001,0
-100.230,107.315,0
-100.361,107.600,0
-100.509,107.930,0
-100.671,108.279,0
-100.762,108.479,0
-100.855,108.679,0
-100.980,108.950,0
-101.097,109.200,0
-101.266,109.568,0
-101.442,109.955,0
-101.531,110.155,0
-101.619,110.355,0
-101.704,110.587,0
-101.782,110.800,0
-101.879,111.200,0
-101.978,111.600,0
-102.002,112.000,0
-102.033,112.400,0
-102.016,112.800,0
-102.013,113.200,0
-101.992,113.600,0
-101.985,114.000,0
-101.979,114.400,0
-101.978,114.800,0
-101.977,115.200,0
-101.975,115.600,0
-101.967,116.000,0
-101.966,116.400,0
-101.940,116.800,0
-101.933,117.200,0
-101.890,117.600,0
-101.867,118.000,0
-101.892,118.400,0
-101.916,118.800,0
-102.035,119.200,0
-102.155,119.634,0
-102.279,119.993,0
-102.341,120.172,0
-102.393,120.324,0
-102.467,120.538,0
-102.566,120.826,0
-102.695,121.200,0
-102.833,121.600,0
-102.980,122.028,0
-103.093,122.353,0
-103.154,122.532,0
-103.199,122.660,0
-103.283,122.904,0
-103.387,123.203,0
-103.524,123.600,0
-103.666,124.000,0
-103.813,124.421,0
-103.911,124.696,0
-103.974,124.873,0
